Comment number,class,comment,processed_comment
1.0,2.0,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,rt mayasolovely woman shouldnt complain cleaning house amp man always take trash
2.0,1.0,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,rt mleew17 boy dat coldtyga dwn bad cuffin dat hoe 1st place
3.0,1.0,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,rt urkindofbrand dawg rt 80sbaby4life ever fuck bitch start cry confused shit
4.0,1.0,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,rt cganderson vivabased look like tranny
5.0,1.0,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,rt shenikaroberts shit hear might true might faker bitch told 57361
6.0,1.0,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",tmadisonx shit blow meclaim faithful somebody still fucking hoe 128514128514128514
7.0,1.0,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",brighterdays sit hate another bitch got much shit going
8.0,1.0,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,8220selfiequeenbri cause im tired big bitch coming u skinny girls8221
9.0,1.0,""" &amp; you might not get ya bitch back &amp; thats that """,amp might get bitch back amp thats
10.0,1.0,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",rhythmixx hobby include fighting mariam bitch
11.0,1.0,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks bitch curve everyone laugh loud walked conversation like shaking head
12.0,1.0,""" Murda Gang bitch its Gang Land """,murda gang bitch gang land
13.0,1.0,""" So hoes that smoke are losers ? "" yea ... go on IG",hoe smoke loser yea go ig
14.0,1.0,""" bad bitches is the only thing that i like """,bad bitch thing like
15.0,1.0,""" bitch get up off me """,bitch get
16.0,1.0,""" bitch nigga miss me with it """,bitch nigga miss
17.0,1.0,""" bitch plz whatever """,bitch please whatever
18.0,1.0,""" bitch who do you love """,bitch love
19.0,1.0,""" bitches get cut off everyday B """,bitch get cut everyday b
20.0,1.0,""" black bottle &amp; a bad bitch """,black bottle amp bad bitch
21.0,1.0,""" broke bitch cant tell me nothing """,broke bitch cant tell nothing
